Species name & GenBank accession #	Clade assignment
AF401522_Carchesium_polypinum	Ciliophora
X56165_Tetrahymena_thermophila	Ciliophora
X03772_Paramecium_tetraurelia	Ciliophora
U97111_Prorodon_viridis	Ciliophora
AF300281_Chilodonella_uncinata	Ciliophora
L26448_Loxophyllum_utriculariae	Ciliophora
U97108_Caenomorpha_uniserialis	Ciliophora
X03948_Sterkiella_nova	Ciliophora
AF357145_Stentor_coeruleus	Ciliophora
L31518_Spirostomum_ambiguum	Ciliophora
L31520_Tracheloraphis_sp	Ciliophora
U24248_Loxodes_striatus	Ciliophora
AY919771_clone_LG25_05_Alveolata	Alveolata
GU290070_clone_TKR07E_24_Alveolata	Alveolata
M88521_Symbiodinium_microadriaticum	Alveolata
U27500_Alexandrium_ostenfeldii	Alveolata
AF080096_Amyloodinium_ocellatum	Alveolata
AY347309_Cochlodinium_polykrikoides	Alveolata
AB264776_Ichthyodinium_chabelardi	Alveolata
AJ402327_EnvClone_OLI11001	Alveolata
AF022200_Noctiluca_scintillans	Alveolata
EU598692_Haplozoon_praxillellae	Alveolata
AF472555_Amoebophrya_sp	Alveolata
EF065717_Hematodinium_perezi_Ld18S1	Alveolata
AJ402349_EnvClone_OLI11005	Alveolata
AF497479_Perkinsus_marinus	Alveolata
EU162630_EnvClone_PAC08SP2005	Alveolata
AY234843_Colpodella_edax	Alveolata
DQ244027_clone_PAA22AU2004	Alveolata
AF372785_clone_BOLA553	Alveolata
DQ174731_Chromera_velia_CMS22	Alveolata
EF025008_clone_Elev_18S_5171	Alveolata
AF330214_Colpodella_tetrahymenae	Alveolata
AY078092_Colpodella_pontica	Alveolata
AY334569_Mattesia_sp_SV2003	Alveolata
EF666482_Ascogregarina_taiwanensis	Alveolata
DQ176427_Syncystis_mirabilis	Alveolata
FJ459761_Stylocephalus_giganteus	Alveolata
AB089284_Cryptosporidium_muris	Alveolata
L16996_Cryptosporidium_parvum	Alveolata
HM245049_Alveolata_sp_CCMP3155	Alveolata
AY196709_Selenidium_terebellae	Alveolata
AF017121_Sarcocystis_buffalonis	Alveolata
X75453_Toxoplasma_gondii	Alveolata
U40262_Eimeria_mitis	Alveolata
M19172_Plasmodium_falciparum	Alveolata
U97052_Theileria_sp_Chungnam	Alveolata
AF297085_Hepatozoon_sp_Boiga	Alveolata
AF238265_symbiont_TypeN_clone2	Alveolata
AB000912_Tridacna_parasite_Apicomplexa	Alveolata
AY294147_Hartmannella_cantabrigiensis	Amoebozoa
AY294146_Glaeseria_mira	Amoebozoa
AJ314604_Amoeba_proteus	Amoebozoa
AF293902_Saccamoeba_limax_ATCC30942	Amoebozoa
AY848964_Heleopera_sphagni	Amoebozoa
DQ190241_Hartmannella_abertawensis_CCAP15349	Amoebozoa
EU719197_Rhizamoeba_saxonica_CCAP15702	Amoebozoa
AF293898_Leptomyxa_reticulata_ATCC50242	Amoebozoa
AF293895_Echinamoeba_exundans_ATCC50171	Amoebozoa
AJ489262_Echinamoeba_thermarum_OSB1	Amoebozoa
AY502959_Vermamoeba_vermiformis_KWR_1	Amoebozoa
AY960120_Protacanthamoeba_bohemica	Amoebozoa
M13435_Acanthamoeba_castellanii	Amoebozoa
AF477019_Balamuthia_mandrillaris_V039	Amoebozoa
DQ122380_Sappinia_diploidea_CCAP15752	Amoebozoa
AY294144_Stenamoeba_stenopodia	Amoebozoa
AY082989_clone_RT5iin44_Variosea	Amoebozoa
EU273440_Amoebozoa_sp_ATCC50593	Amoebozoa
EU186021_Flamella_aegyptia	Amoebozoa
AY965863_Variosea_sp_AND16	Amoebozoa
AF293896_Filamoeba_nolandi_ATCC50430	Amoebozoa
EF023424_clone_Amb_18S_765_Variosea	Amoebozoa
AB425950_Variosea_sp_Mb5C	Amoebozoa
AM114811_clone_WIM01_Variosea	Amoebozoa
AM114801_clone_WIM05_Variosea	Amoebozoa
AF293897_Acramoeba_dendroida	Amoebozoa
AY268037_Multicilia_marina	Amoebozoa
FJ544419_Ceratiomyxella_tahitiensis_HI0493l1	Amoebozoa
AF280078_Phalansterium_solitarium_ATCC50327	Amoebozoa
AY919786_clone_LG30_03_Amoebozoa	Amoebozoa
AY294143_Mayorella_sp_JJP2003	Amoebozoa
DQ229956_Vermistella_antarctica_S241	Amoebozoa
AY183894_Neoparamoeba_pemaquidens_CCAP15604	Amoebozoa
AY183893_Korotnevella_stella_CCAP15476	Amoebozoa
AY294149_Vexillifera_minutissima	Amoebozoa
AY294150_Vannella_placida	Amoebozoa
AF099101_Vannella_anglica_CCAP15898	Amoebozoa
AY183886_Lingulamoeba_leei_ATCC30734	Amoebozoa
AY294148_Dermamoeba_algensis	Amoebozoa
AB505492_clone_RM1SGM35_Namako2	Amoebozoa
AB505493_clone_RM1SGM36_Namako2	Amoebozoa
AB275075_clone_DSGM75_Namako2	Amoebozoa
AB505490_clone_RM1SGM33_Namako2	Amoebozoa
AB505494_clone_RM1SGM37_Namako2	Amoebozoa
AB252742_clone_NAMAKO2_Namako2	Amoebozoa
AB505553_clone_RM2SGM45_Namako2	Amoebozoa
AY050179_Thecamonas_sp_CCAP_contaminant	Apusozoa
EU542598_Thecamonas_oxoniensis_Ivy8c	Apusozoa
AB505550_clone_RM2SGM42_Apusomonadida	Apusozoa
AY050182_Podomonas_capensis	Apusozoa
L37037_Apusomonas_proboscidea_CCAP19051	Apusozoa
AY050178_Manchomonas_bermudensis_ATCC50234	Apusozoa
AB505487_clone_RM1SGM30_Apusomonadida	Apusozoa
AB505549_clone_RM2SGM41_Apusomonadida	Apusozoa
AY050181_Multimonas_media_Millport	Apusozoa
AB505488_clone_RM1SGM31_Apusomonadida	Apusozoa
AB505552_clone_RM2SGM44_Apusomonadida	Apusozoa
AY749614_Sphaerastrum_fockii	Centrohelida
AY749612_Pterocystis_tropica_Oxford	Centrohelida
DQ103826_clone_M318F06_Centrohelida	Centrohelida
AY268042_Chlamydaster_sterni	Centrohelida
AY821943_clone_CeCV1B193_Centrohelida	Centrohelida
AY821944_clone_CeCV1B246_Centrohelida	Centrohelida
En42C_NRRA_isolate_Cumbria_BrMa	Cercozoa
KibAr_NRRA_isolate_Cumbria_BrMa	Cercozoa
CHI_EF024704_clone_Elev_18S_1191_Vampy	Cercozoa
EU910603_clone_D40_Vampy	Cercozoa
EU910611_clone_D47_Vampy	Cercozoa
CAraX_NRRA_isolate_California_Ma	Cercozoa
EU567267_clone_sm27_Vampy	Cercozoa
AY605200_clone_Sey055_Vampy	Cercozoa
FJ157330_clone_kor11090415_Vampy	Cercozoa
AY179971_clone_CCI78_Vampy	Cercozoa
EU567269_clone_T11_Vampy	Cercozoa
AB622340_clone_K9MAY2010_Vampy	Cercozoa
EU567268_clone_op14_Vampy	Cercozoa
AY620292_clone_4_1_6_Vampy	Cercozoa
EU567294_Arachnula_A155_Baikal_Fw	Cercozoa
AY642743_clone_A51_Vampy	Cercozoa
AY620291_clone_10_3_2_Vampy	Cercozoa
EF024716_clone_Elev_18S_1206_Vampy	Cercozoa
EU567265_clone_ihs12_Vampy	Cercozoa
EU567262_clone_DB270305_Vampy	Cercozoa
EU567266_clone_lb10_Vampy	Cercozoa
AF372743_clone_LEMD004_Vampy	Cercozoa
NVam1_NRRA_isolate_North_Carolina_Br	Cercozoa
GU479951_clone_PR4_3E_90_Vampy	Cercozoa
AF310898_Polymyxa_graminis	Cercozoa
FN690466_clone_1D9_Phyto	Cercozoa
AF310899_Spongospora_sub_subterranea	Cercozoa
AB526843_Plasmodiophora_brassicae_NGY	Cercozoa
EF024345_clone_Elev_18S_763_Phyto	Cercozoa
